StationId,StationName,Lat,Lon
DL001,"Alipur, Delhi - DPCC",28.796313481748896,77.13672570162007
DL002,"Anand Vihar, Delhi - DPCC",28.64949751634937,77.31006652833294
DL003,"Ashok Vihar, Delhi - DPCC",28.694178857814407,77.17536510474419
DL004,"Aya Nagar, Delhi - IMD",28.47008334969562,77.12989715766064
DL005,"Bawana, Delhi - DPCC",28.803479380470513,77.04841700602687
DL006,"Burari Crossing, Delhi - IMD",28.729345423393973,77.19625104776367
DL007,"CRRI Mathura Road, Delhi - IMD",28.551668012168747,77.27486541623973
DL008,"DTU, Delhi - CPCB",28.749878003367858,77.1173799223692
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.499641893149114,77.26707393984856
DL010,"Dwarka-Sector 8, Delhi - DPCC",28.569894734501386,77.07201783021887
DL011,"East Arjun Nagar, Delhi - CPCB",28.656563888887327,77.29481472071615
DL012,"IGI Airport (T3), Delhi - IMD",28.555322623805978,77.0847657281916
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",28.68015056172747,77.30634869292554
DL014,"ITO, Delhi - CPCB",28.628193009723063,77.24151817144907
DL015,"Jahangirpuri, Delhi - DPCC",28.728894460985643,77.16957324972152
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.582709972933664,77.23437960382375
DL017,"Lodhi Road, Delhi - IMD",28.59123322410092,77.22892643644364
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.612309622234037,77.23645967482399
DL019,"Mandir Marg, Delhi - DPCC",28.63390750878932,77.20036887647177
DL020,"Mundka, Delhi - DPCC",28.68532167766786,77.02137481101747
DL021,"NSIT Dwarka, Delhi - CPCB",28.61086771472378,77.0384387489531
DL022,"Najafgarh, Delhi - DPCC",28.61035513988111,76.98318566123473
DL023,"Narela, Delhi - DPCC",28.84605894647879,77.09388750041111
DL024,"Nehru Nagar, Delhi - DPCC",28.569765814727475,77.25104174846808
DL025,"North Campus, DU, Delhi - IMD",28.68777841967783,77.20902736733036
DL026,"Okhla Phase-2, Delhi - DPCC",28.53649164282982,77.27451297803054
DL027,"Patparganj, Delhi - DPCC",28.636199373950777,77.30629553861816
DL028,"Punjabi Bagh, Delhi - DPCC",28.662607877600347,77.12445272852922
DL029,"Pusa, Delhi - DPCC",28.638466120914106,77.14731820657786
DL030,"Pusa, Delhi - IMD",28.636544142364027,77.15970951773626
DL031,"R K Puram, Delhi - DPCC",28.56552294731117,77.17852401259952
DL032,"Rohini, Delhi - DPCC",28.73844322357401,77.08815301929711
DL033,"Shadipur, Delhi - CPCB",28.6513639916927,77.15786249746807
DL034,"Sirifort, Delhi - CPCB",28.54998128406378,77.21972537756727
DL035,"Sonia Vihar, Delhi - DPCC",28.736935980569278,77.24503021757154
DL036,"Sri Aurobindo Marg, Delhi - DPCC",28.556336488942637,77.20624973878273
DL037,"Vivek Vihar, Delhi - DPCC",28.672621205923424,77.31856706310896
DL038,"Wazirpur, Delhi - DPCC",28.697809794612546,77.161715303098